,H,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Cu,Zn,Ga,Ge,As,Se,Br,I,
H,0.74,1.60,1.34,1.23,1.12,1.04,0.97,0.92,,1.89,1.73,1.65,1.52,1.42,1.34,1.28,,2.24,2.00,1.78,1.79,,1.66,1.46,1.60,1.66,1.59,1.54,1.48,1.41,1.60,
Li,1.60,2.67,,,,,1.69,1.56,,2.89,,,,,2.15,2.02,,3.27,,,,,,,,,,,,2.17,2.39,
Be,1.34,,2.46,,,,1.33,1.36,,,,,,,1.74,1.80,,,,,,,,,,,,,,,,
B,1.23,,,1.59,1.49,1.33,1.21,1.27,,,,,,,1.61,1.72,,,,,,,,,,,,,,1.89,,
C,1.12,,,1.49,1.24,1.17,1.13,1.28,,,,1.96,1.72,1.56,1.54,1.65,,,2.30,,,,,,,,,,1.68,1.82,,
N,1.04,,,1.33,1.17,1.10,1.15,1.32,,,,1.79,1.58,1.49,1.50,1.61,,,,,,,,,,,,1.62,1.65,1.77,,
O,0.97,1.69,1.33,1.21,1.13,1.15,1.21,1.35,,,1.75,1.62,1.51,1.48,1.48,1.60,,,1.82,1.67,1.62,1.59,,1.72,,1.74,1.63,,1.64,1.72,1.87,
F,0.92,1.56,1.36,1.27,1.28,1.32,1.35,1.41,,1.93,1.75,1.65,1.60,1.59,1.60,1.63,,2.17,1.97,1.79,,,,1.75,,1.77,1.75,1.74,,1.76,1.91,
Ne,,,,,,,,,3.10,,,,,,,,,,,,,,,,,,,,,,,
Na,1.89,2.89,,,,,,1.93,,3.08,,,,,2.49,2.36,,3.59,,,,,,,,,,,,2.50,2.71,
Mg,1.73,,,,,,1.75,1.75,,,3.89,,,,2.14,2.20,,,,,,,,,,,,,,,,
Al,1.65,,,,1.96,1.79,1.62,1.65,,,,2.70,,2.40,2.03,2.13,,,,,,,,,,,,,,2.30,,
Si,1.52,,,,1.72,1.58,1.51,1.60,,,,,2.25,2.08,1.93,2.06,,,,,,,,,,,,,2.06,2.21,,
P,1.42,,,,1.56,1.49,1.48,1.59,,,,2.40,2.08,1.89,1.90,2.02,,,,,,,,,,2.45,,,,2.17,,
S,1.34,2.15,1.74,1.61,1.54,1.50,1.48,1.60,,2.49,2.14,2.03,1.93,1.90,1.89,1.98,,,2.32,,,,,,2.05,,,,2.04,,,
Cl,1.28,2.02,1.80,1.72,1.65,1.61,1.60,1.63,,2.36,2.20,2.13,2.06,2.02,1.98,1.99,,2.67,2.44,,2.27,,,2.05,,2.20,2.16,,,2.14,2.32,
Ar,,,,,,,,,,,,,,,,,3.76,,,,,,,,,,,,,,,
K,2.24,3.27,,,,,,2.17,,3.59,,,,,,2.67,,3.91,,,,,,,,,,,,2.82,3.05,
Ca,2.00,,,,2.30,,1.82,1.97,,,,,,,2.32,2.44,,,,,,,,,,,,,,2.59,,
Sc,1.78,,,,,,1.67,1.79,,,,,,,,,,,,,,,,,,,,,,,,
Ti,1.79,,,,,,1.62,,,,,,,,,2.27,,,,,,,,,,,,,,,,
V,,,,,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,
Cr,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cu,1.46,,,,,,1.72,1.75,,,,,,,,2.05,,,,,,,,2.22,,,,,,,,
Zn,1.60,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,
Ga,1.66,,,,,,1.74,1.77,,,,,,2.45,,2.20,,,,,,,,,,,,2.53,,,,
Ge,1.59,,,,,,1.63,1.75,,,,,,,,2.16,,,,,,,,,,,,,,,,
As,1.54,,,,,1.62,,1.74,,,,,,,,,,,,,,,,,,2.53,,2.10,,,,
Se,1.48,,,,1.68,1.65,1.64,,,,,,2.06,,2.04,,,,,,,,,,,,,,2.17,,,
Br,1.41,2.17,,1.89,1.82,1.77,1.72,1.76,,2.50,,2.30,2.21,2.17,,2.14,,2.82,2.59,,,,,,,,,,,2.28,2.47,
I,1.61,2.39,,,,,1.87,1.91,,2.71,,,,,,2.32,,3.05,,,,,,,,,,,,2.47,2.67,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,